a 8 20 17 18 18 19 19 24 27 25 8 1 19 31 26 16 16 30 30 8 11 1 0.6080246913580247 0.7006172839506173 1 1
i 0 10 0 0 13 10 9 10 10 17 0 0 0 0 0 13 45 6 0 0 0 0 0.9698216735253772 0.8834019204389575 0 2
t 1 8 7 24 20 9 10 16 16 16 1 0 0 0 6 30 47 13 20 0 0 0 0.8336 0.8512 0 1
i 17 10 0 0 13 10 10 8 10 12 17 0 0 0 0 12 44 8 0 0 0 0 0.9689349112426036 0.8816568047337278 0 2
o 11 19 19 16 20 22 20 18 18 21 11 1 19 29 27 13 12 14 32 28 15 1 0.9074074074074074 0.9567901234567902 1 1
S 3 23 14 15 18 20 17 13 17 21 3 0 0 25 26 21 22 23 31 28 0 0 0.808641975308642 0.7592592592592593 0 1
t 4 9 8 22 20 9 10 16 15 17 4 0 0 0 6 41 49 13 18 0 0 0 0.7616 0.8464 0 1
t 0 7 8 23 9 9 12 16 15 15 0 0 0 0 19 44 22 20 12 0 0 0 0.78 0.8632 0 1
, 1 9 11 10 9 7 6 6 6 5 1 0 0 0 3 14 23 19 14 0 0 0 0.8194444444444444 0.8541666666666666 0 1
m 0 0 11 32 27 26 28 59 0 0 0 0 35 34 8 13 31 10 14 34 19 0 0.87 0.9055555555555556 2 1
W 0 0 45 20 23 27 22 19 11 0 0 0 8 22 23 20 16 29 13 18 6 0 0.8888 0.6024 1 1
e 1 17 20 18 32 31 10 15 26 16 1 0 9 25 31 21 20 20 24 23 6 0 0.8698060941828255 0.814404432132964 1 1
i 0 10 0 0 14 9 9 9 9 17 0 0 0 0 0 13 44 6 0 0 0 0 0.958161865569273 0.8950617283950617 0 2
e 0 18 17 18 32 30 9 16 25 14 0 0 16 27 28 18 18 20 25 18 0 0 0.8116343490304709 0.775623268698061 1 1
a 0 19 15 20 22 20 22 25 32 20 0 0 20 33 24 18 33 32 29 13 3 0 0.5595567867036011 0.7119113573407202 2 1
e 10 17 16 15 30 31 9 14 15 21 10 0 11 27 31 18 18 18 24 23 10 0 0.8595679012345679 0.7916666666666666 1 1
n 0 24 29 20 19 18 19 19 22 37 0 1 12 36 35 17 13 12 34 31 8 1 0.8102493074792244 0.8157894736842105 1 1
n 0 14 31 20 20 19 18 19 22 39 0 3 13 35 33 12 10 35 32 29 7 3 0.7975 0.8 1 1
d 12 11 9 10 24 20 19 19 19 33 12 0 0 16 31 12 11 52 53 6 0 0 0.6707818930041153 0.7366255144032922 1 1
l 8 13 10 10 9 10 9 8 9 15 8 0 0 0 0 11 54 32 0 0 0 0 0.9314128943758574 0.9615912208504801 0 1
f 0 16 14 9 21 9 9 9 9 19 0 0 0 0 10 45 52 22 7 0 0 0 0.7942386831275721 0.8614540466392319 0 1
i 0 11 0 0 14 8 10 10 10 17 0 0 0 0 0 12 44 7 0 0 0 0 0.9670781893004116 0.8861454046639232 0 2
G 0 34 22 19 17 13 30 21 21 31 0 0 29 43 17 11 12 16 31 49 6 0 0.7391581632653061 0.8539540816326531 0 1
x 0 31 16 14 12 10 15 15 19 31 0 0 13 19 27 26 16 30 24 16 9 0 0.8287037037037037 0.8070987654320988 0 1
e 8 18 15 16 31 30 9 14 16 19 8 0 7 23 30 21 18 18 24 23 12 0 0.7515432098765432 0.816358024691358 1 1
e 10 19 17 16 31 31 10 14 14 22 10 0 12 26 31 20 18 19 24 24 11 0 0.7993827160493827 0.8302469135802469 1 1
e 9 18 18 17 31 30 10 13 14 21 9 0 9 24 30 20 19 19 24 24 11 0 0.7932098765432098 0.8240740740740741 1 1
i 1 11 3 0 15 9 10 9 11 18 1 0 0 0 0 14 46 20 0 0 0 0 0.9588477366255144 0.8888888888888888 0 2
t 0 8 7 23 19 9 10 16 15 16 0 0 0 0 7 41 47 13 16 0 0 0 0.7536 0.8448 0 1
h 1 13 9 9 25 18 19 18 18 34 1 0 0 11 53 50 8 13 32 5 0 0 0.8058984910836763 0.7716049382716049 0 1
V 0 34 26 13 14 14 13 10 7 3 0 0 6 9 24 29 14 16 15 8 6 0 0.8625 0.5425 0 1
b 12 13 10 10 28 22 20 21 19 29 12 0 0 7 53 17 13 14 30 19 0 0 0.7139917695473251 0.7167352537722909 1 1
a 0 15 16 18 21 18 18 24 30 23 0 0 14 29 24 17 19 31 30 12 3 0 0.5886426592797784 0.7354570637119113 1 1
g 10 30 25 19 21 17 28 31 14 28 10 0 0 27 44 28 28 35 33 24 0 0 0.7586805555555556 0.7760416666666666 2 1
e 0 15 16 15 29 28 9 13 19 16 0 0 1 25 32 17 18 19 23 16 0 0 0.8642659279778393 0.8337950138504155 1 1
a 5 18 15 16 19 18 20 21 26 26 5 0 13 29 35 16 15 30 30 5 12 0 0.6388888888888888 0.7376543209876543 2 1
f 7 15 13 8 20 9 9 9 9 19 7 0 0 0 9 43 52 21 7 0 0 0 0.7921810699588477 0.864883401920439 0 1
o 10 16 19 16 19 21 19 17 16 21 10 6 14 27 31 12 13 12 27 28 19 6 0.8888888888888888 0.9074074074074074 1 1
l 0 14 10 10 8 8 9 9 11 17 0 0 0 0 9 35 35 15 2 0 0 0 0.8472222222222222 0.933641975308642 0 1
o 0 20 18 19 21 21 20 17 26 15 0 0 15 27 33 13 14 12 32 27 14 0 0.9695290858725761 0.9030470914127424 1 1
b 0 13 10 9 28 20 19 20 18 27 0 0 0 32 53 12 12 15 28 13 0 0 0.7965561224489796 0.7378826530612245 1 1
n 0 22 31 19 19 19 18 19 30 37 0 0 13 35 34 13 11 19 33 30 6 0 0.86875 0.88375 1 1
t 0 7 7 22 19 8 10 15 15 16 0 0 0 0 6 41 47 13 15 0 0 0 0.7472 0.8432 0 1
i 14 10 4 0 12 9 9 9 9 14 14 0 0 0 0 10 44 39 0 0 0 0 0.9204389574759945 0.887517146776406 0 2
h 0 12 10 10 26 19 16 17 18 33 0 0 0 12 53 15 6 26 31 5 0 0 0.7880658436213992 0.7606310013717421 0 1
r 2 25 21 15 9 9 9 9 9 18 2 0 0 10 36 35 32 10 12 11 0 0 0.6697530864197531 0.845679012345679 0 1
h 14 13 10 9 25 19 18 19 19 31 14 0 0 8 54 51 8 13 32 5 0 0 0.7818930041152263 0.766803840877915 0 1
